Individual	Location	Pasture	Parasitism	pop_para	pop_para_past
L50	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L51	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L52	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L53	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L54	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L55	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L56	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L57	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L58	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L59	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L60	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L61	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L62	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L63	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L64	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L65	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L66	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L67	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L68	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L69	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L70	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L71	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L72	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L73	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L74	Lincoln	Ryegrass	non-parasitized	Lincoln_non-parasitized	Lincoln_non-parasitized_Ryegrass
L75	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L76	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L77	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L78	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L79	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L80	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L81	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L82	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L83	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L84	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L85	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L86	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L87	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
